RID,CommentFileNum,SentenceNumber,Sentence,Positive
1,1,1,酒店 的 服务 很 好 和 我 住 过 的 所有 日本 酒店 一样 各 种 隐形 服务 非常 厉害,1
2,1,2,酒店 的 环境 没 得说 后面 的 庭院 让 人 心旷神怡,1
3,1,3,酒店 卫生 也 一点 问题 都 没有 干净 整洁 优点 就 说到 这里,1
4,1,4,我 看到 很多 人 点评 酒店 地理 位置 好 我 觉着 这 绝对 是 扯,0
5,1,5,在 我 看来 酒店 位置 好要 有 几 个 要素 周边 吃饭 购物 是否 方便,1
6,1,6,新 大谷 由于 地处 日本 国家 政府 麇据 之 地 吃饭 还 可以,1
7,1,7,但 购物 一般 四 之 谷 附近 有 个 超市 赤坂 见 附 附近 只有 吃饭 的 地方 和 一 个 小 药 妆店,0
8,1,8,交通 是否 便利,1
9,1,9,新 大 谷 酒店 周边 三 个 车站,1
10,1,10,可 最近 的 赤坂 见 附站 从 出站 到 酒店 也 需要 将近 分钟 时间 是 出站 不 是 出  口 上到 地面 除非 你 认为 出站 到  口 不 用 走 四 之 谷 距离 酒店 更 需要 分钟,0
11,1,11,虽然 路上 景色 很美,1
12,1,12,其实 和 交通 也 有 关系 就是 去 机场 是否 方便,0
13,1,13,很遗憾 不 方便 无论 成田 还是 羽田 同 一 种 交通 工具 都 需要 至少 次 换乘 不同 工具 成田 可 达到 京成线 电车 和 银座 线 地铁 次 换乘 羽田 仍 需要 次,0
14,1,14,周边 有 景点,1
15,1,15,新 大 谷 周边东 有 九 段 下 西 有 新宿御苑,1
16,1,16,可惜 距离 都 在 站 地 以上 到 六本木 也 只 有 站 地 但 竟然 无法 直接 到达 东京 塔 只 能 看到 去 起来 很 不 方便,0
17,1,17,以上 都 说明 新 大谷 酒店 位置 绝 不 算 好,0
18,1,18,最后 说 一下 设施,0
19,1,19,我 住的 房间 在 层 这样 一 家 五 星 酒店 竟然 是 钥匙     房间 浴室 没有 凉水 马桶盖 打 不 开,0
20,1,20,当然,1
21,1,21,这些 都 通过 与 酒店 沟通 解决 了,1
22,1,22,可 我 只 想 说 如果 是 不 会 日语 或 英语 不 太 好 的 人住 进来 怎么 办 在 电话 前 或到 前台 比划么,0
23,1,23,总之 这 家 酒店 很 好,1
24,1,24,但 不完美,0
25,1,25,我 推荐 大家 来住,1
26,1,26,但 既然 有 王子 花园塔 丸之内 等同 档次 的 酒店 我 恐怕 不 会 再 来 这 家 了,0
27,2,1,酒店 太 棒 了,1
28,2,2,住了 六 个 晚上,0
29,2,3,樱花季 有点 贵,0
30,2,4,住的       层 很 高 晚上 可以 看到 东京 铁塔,1
31,2,5,一 开始 还 想 三 人间 会 不 会 小 结果       打开 门 简直 吓 了 一 跳 太 大 了   比 网上 写的 大 好多 三 个 箱子 都 可以 摊开,1
32,2,6,看中 这个 日式 庭院 特地 还 吃 了 个 早餐 院子 里 很多 樱花树 和 一 个 大 瀑布 保洁 人员 很 认真 还有 好几 只 猫,1
33,2,7,下次 去 还 会 定 这个 银座 线丸 之内 线 基本 可以 到 任何 想去 的 地方 了 走 分钟 到 四 谷    实在 是 太 方便,1
34,3,1,日本 品牌 传统 酒店,1
35,3,2,东京 市中心 有 最 大 的 日本 花园 的 洒店,1
36,4,1,第一 次 在 携程 上面 写 评价 总体 来讲 酒店 位置 很 好,1
37,4,2,有 一 个 后门 到 地铁站 非常 近 周边 也 算 方便 酒店 服务 和 卫生 都 很 好,1
38,4,3,只有 一 点 很 失望 原本 订 这个 酒店 时 是 冲着 有 华人 服务 去 的 结果 根本 没有 华人 服务 没有 中文 服务,0
39,5,1,各方面 都 很 好 的 五星级 酒店,1
40,5,2,而且 离 地铁 不 远 交通 挺 方便,1
41,5,3,最 赞 的 是 酒店 的 日式 庭院 吃 早餐 的 时候 坐 在 窗 边 享用 美食 还可以 欣赏 美景 真心 不错,1
42,6,1,塔楼 还 蛮 高的,1
43,6,2,酒店 很 大 花园 很 漂亮,1
44,6,3,客房 服务 的 烤肉 饭 好吃,1
45,7,1,位置 非常 不错,1
46,7,2,酒店 服务 热情,1
47,7,3,设施 还算 不错,1
48,8,1,总体 很 满意,1
49,8,2,设施 有点旧,0
50,8,3,但 看 得 出 曾经 辉煌 很多 新人 举行 婚礼 的 地方,1
51,8,4,地铁站 走 米 附近 有 很多 吃 的 二 楼 的 法式 甜品 面包 也 很 有名,1
52,8,5,赤坂 见 付 站上 盖 超大,1
53,8,6,总之 很 好,1
54,9,1,酒店 工作 人员 服务 很 好 很 热情 买 药 问题 都 一一 解答,1
55,9,2,就是 地理 位置 稍微 有点 偏僻,0
56,9,3,不过 酒店 里 有             可以 满足 一些 需要 周边 也 有 药店 人 不多,1
57,9,4,值得 推荐,1
58,10,1,酒店 位置 很 方便 旁边 就 是 地铁站 去 新宿 银座 都 很 方便,1
59,10,2,就是 房间 比较 老 旧了,0
60,10,3,干净 卫生 还是 不错 的,1
61,10,4,日式 的 早餐 不错,1
62,11,1,房间 有点 陈旧,0
63,11,2,其他 还 可以,1
64,11,3,酒店 花园 很 好 环境 一流,1
65,11,4,服务 在 东京 算是 一般 和 中国 差不多,0
66,11,5,靠近 地铁 出行 很 方便,1
67,12,1,塔楼 还 蛮 高的,1
68,12,2,酒店 很 大 花园 很 漂亮,1
69,12,3,客房 服务 的 烤肉 饭 好吃,1
70,13,1,各方面 都 很 好 的 五星级 酒店,1
71,13,2,而且 离 地铁 不 远 交通 挺 方便,1
72,13,3,最 赞 的 是 酒店 的 日式 庭院 吃 早餐 的 时候 坐 在 窗 边 享用 美食 还可以 欣赏 美景 真心 不错,1
73,14,1,地理 位置 相当 好 购物 吃饭 坐 地铁 都 很 方便,1
74,15,1,方便 离 地铁站 很 近,1
75,15,2,早餐 很 好,1
76,15,3,就是 人多了点,0
77,16,1,酒店 位置 一流,1
78,16,2,景色 一流 服务 也 不错,1
79,16,3,一 个 住 过 还 想去 住的 地方,1
80,17,1,酒店 房间 小 感觉 有些 压抑,0
81,17,2,花园 还是 不错 的 据说 是 了,1
82,18,1,到 地铁站 非常 近,1
83,18,2,酒店 也 很 漂亮 准备 去 看看 有名 的 日式 花园,1
84,19,1,酒店 位置 不错 闹 中 取静 四周 风景 很 好,1
85,19,2,酒店 的 早餐 选择 很多 每 个 人 可以 根据 自己 的 喜好 进行 选择,1
86,19,3,但 酒店 房间 的 设施 略显 陈旧,0
87,19,4,另外 酒店 尽量 早定 晚了 价格 高 还 缺少 选择,0
88,20,1,酒店 的 评价 都 是 托 吧,0
89,20,2,没有 人 公布 过 房间 的 照片 托们 都 是 睡在 酒店 的 草坪 上 吧,0
90,20,3,的 酒店 一 到 房间 瞬间 被 坑 爹 了 还 不如 的 酒店,0
91,20,4,还 标榜 华人 酒店 竟 连 一 个 会 中文 的 人 都 没有,0
92,20,5,酒店 旁边 很 荒凉 连个 便利 店 都 要 走 很远,0
93,20,6,想 入住 的 亲们 血淋淋 的 教训 订 了 是 不 给 退 的 慎重 再 慎重,0
94,21,1,多次 入住,1
95,21,2,环境 好 日本 园林,1
96,21,3,皇宫 附近,1
97,22,1,好 服务 好 很 干净 很 舒服 推荐 服务 好 很 干净 很 舒服 推荐 服务 好 很 干净 很 舒服 推荐 服务 好 很 干净 很 舒服 推荐 服务 好 很 干净 很 舒服 推荐,1
98,24,1,出行 很 方便,1
99,24,2,以后 还 会 选择 此 酒店,1
100,25,1,酒店 花园 很 漂亮,1
101,25,2,房间 在 东京 这个 地段 算 很 大 了,1
102,25,3,服务 也好,1
103,25,4,如果 有 中文 服务 就 更 好了,0
104,26,1,离 地铁口 非常 近 中心区 非常 方便,1
105,27,1,交通 十分 便利,1
106,27,2,房间 大而 干净,1
107,27,3,在 东京 属 性价比 高的,1
108,28,1,不错 的 酒店,1
109,28,2,环境 很 优雅,1
110,30,1,干净,1
111,30,2,交通 方便,1
112,31,1,很 干净,1
113,31,2,服务 很 好,1
114,31,3,下次 还 想 住,1
115,32,1,设施 比较 老,0
116,32,2,可能 是 价格 还是 比较 便宜 的 原因 吧,0
117,32,3,出去 吃饭 比较 麻烦 路 较 长,0
118,33,1,交通 方便 有 班车 接送 机场,1
119,33,2,早餐 有 四 个 餐厅 可选,1
120,33,3,健身房 设施 一般,0
121,33,4,房间 小,0
122,33,5,卫生 还 可以 吧,1
123,34,1,很 商务,1
124,34,2,离开 东京 站 非常 近 楼下 可以 直通 地铁站,1
125,34,3,环境 很 好,1
126,34,4,以后 还 会 选择 这 家,1
127,35,1,花园 很 美 很 有 日本 特色,1
128,36,1,酒店 有 个 小 园林 相当 的 棒 瀑布 小桥 金鱼 茂密 的 树林 早歺 时 风景 尽收眼底,1
129,36,2,是 个 非常 好 的 酒店,1
130,36,3,唯一 不 足 是 价格 太高,0
131,37,1,酒店 本身 不错,1
132,37,2,房间 较大,1
133,37,3,设施 也 不错,1
134,37,4,酒店 位置 离 地铁 较近,1
135,37,5,但 酒店 周边 服务 设施 不 多 有 诸多 不便,0
136,37,6,若有 需要 只 能 坐 地铁 到新宿,0
137,38,1,替 朋友 订 的 反应 很好,1
138,39,1,明显 比 开业 时人 多 了,0
139,39,2,太 嘈杂,0
140,39,3,卫生 也 有所 下降,0
141,40,1,酒店 位置 很好,1
142,40,2,非常 安静,1
143,40,3,周边 是 商务区 和 大阪城 商务区 有 许多 小 商场 购物 吃饭 很 方便 游览 一 天 回来 地铁 出口 就 你 一 人,1
144,41,1,环境 服务 都 很 好,1
145,42,1,服务 非常 好,1
146,42,2,周围 环境 很 便利,1
147,43,1,地点 方便,1
148,43,2,服务 非常 好,1
149,45,1,位置 非常 不错,1
150,45,2,酒店 服务 热情,1
151,45,3,设施 还算 不错,1
152,46,1,各方面 都 很 好 的 五星级 酒店,1
153,46,2,而且 离 地铁 不 远 交通 挺 方便,1
154,46,3,最 赞 的 是 酒店 的 日式 庭院 吃 早餐 的 时候 坐 在 窗 边 享用 美食 还可以 欣赏 美景 真心 不错,1
155,47,1,好 服务 好 很 干净 很 舒服 推荐 服务 好 很 干净 很 舒服 推荐 服务 好 很 干净 很 舒服 推荐 服务 好 很 干净 很 舒服 推荐 服务 好 很 干净 很 舒服 推荐,1
156,49,1,出行 很 方便,1
157,49,2,以后 还 会 选择 此 酒店,1
158,50,1,出行 很 方便,1
159,50,2,以后 还 会 选择 此 酒店,1
