p_val,List cutoff,Emotion,RBO_EXT,RBO_MIN,RBO_RES
0.9,None,Satisfaction,0.18883096937521543,0.18857893954726038,0.0007713280241310764
0.9,None,Dissatisfaction,0.0,0.0,0.1977988335594657
0.9,20,Satisfaction,0.19124594806435144,0.1809298579185474,0.06323785233823248
0.9,20,Dissatisfaction,0.0,0.0,0.2202711864453884
0.9,10,Satisfaction,0.12528424343571426,0.1108427881104495,0.24940722912188318
0.9,10,Dissatisfaction,0.0,0.0,0.29696650327590185
0.9,7,Satisfaction,0.14410864285714284,0.1108427881104495,0.37363188295269667
0.9,7,Dissatisfaction,0.0,0.0,0.3861008444397651
0.9,5,Satisfaction,0.17644500000000002,0.1108427881104495,0.48730697206812196
0.9,5,Dissatisfaction,0.0,0.0,0.5116075656428573
0.75,None,Satisfaction,0.12979076855463598,0.1297907563743698,4.000944751795398e-08
0.75,None,Dissatisfaction,0.0,0.0,0.0291514906966608
0.75,20,Satisfaction,0.12984883198274855,0.12970387362834815,0.0009608063129756999
0.75,20,Dissatisfaction,0.0,0.0,0.029597776056749195
0.75,10,Satisfaction,0.11976732526506698,0.11834812037329685,0.027713648917205277
0.75,10,Dissatisfaction,0.0,0.0,0.042411655896403874
0.75,7,Satisfaction,0.12437569754464285,0.11834812037329685,0.07939086733727188
0.75,7,Dissatisfaction,0.0,0.0,0.08083410202623242
0.75,5,Satisfaction,0.1365234375,0.11834812037329685,0.16147185861317076
0.75,5,Dissatisfaction,0.0,0.0,0.1675611223493304
0.5,None,Satisfaction,0.06833067930050263,0.06833067930049985,-4.0981823818622157e-16
0.5,None,Dissatisfaction,0.0,0.0,0.0007302936156756202
0.5,20,Satisfaction,0.06833070038153821,0.06833067533274129,1.6698882122986552e-07
0.5,20,Dissatisfaction,0.0,0.0,0.0007303768703986651
0.5,10,Satisfaction,0.06816251240079364,0.06814718055994529,0.00030646212834554987
0.5,10,Dissatisfaction,0.0,0.0,0.0008832457561355556
0.5,7,Satisfaction,0.06837797619047618,0.06814718055994529,0.0032156701852294953
0.5,7,Dissatisfaction,0.0,0.0,0.0032238703137140653
0.5,5,Satisfaction,0.06979166666666667,0.06814718055994529,0.016111561999578347
0.5,5,Dissatisfaction,0.0,0.0,0.01629154265873016
0.25,None,Satisfaction,0.01929639066192374,0.019296390661918128,2.036427588879726e-32
0.25,None,Dissatisfaction,0.0,0.0,2.122206364884314e-06
0.25,20,Satisfaction,0.01929639066194038,0.01929639066192279,1.121358847686884e-13
0.25,20,Dissatisfaction,0.0,0.0,2.122206420951632e-06
0.25,10,Satisfaction,0.01929622831798735,0.019296217355342704,2.19252656119518e-07
0.25,10,Dissatisfaction,0.0,0.0,2.2318318218963054e-06
0.25,7,Satisfaction,0.019297572544642858,0.019296217355342704,1.8971290457612692e-05
0.25,7,Dissatisfaction,0.0,0.0,1.89723321052142e-05
0.25,5,Satisfaction,0.0193359375,0.019296217355342704,0.00039672131304463974
0.25,5,Dissatisfaction,0.0,0.0,0.000397091820126488
